compound_name,gene_name_of_protein_target,target_or_activity_of_compound
tivantinib,MET,inhibitor of MET; inhibitor of microtubule assembly
YK 4-279,DHX9;ERG;ETV1,inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity
isoevodiamine,,natural product
brefeldin A,ARF1,modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi
ouabain,ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4,cardiac glycoside; inhibitor of the Na+/K+-ATPase
BRD-K30748066,CDK9,inhibitor of CDK9
CIL55A,,screening hit
MG-132,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of the proteosome
MLN2238,PSMB5,inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site
bortezomib,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of 26S proteasome
palmostatin B,LYPLA1,inhibitor of acyl-protein thioesterase 1
pitstop2,CLTA;CLTB;CLTC;CLTCL1,inhibitor of clathrin and clathrin-independent endocytosis
darinaparsin,,inducer of ROS; inhibitor of microtubule assembly
QW-BI-011,EHMT2,inhibitor of G9a histone methyltransferase
SJ-172550,MDM2;TP53,inhibitor of p53-MDM2 interaction
IC-87114,PIK3CD,inhibitor of PI3K catalytic subunit delta
BRD-K50799972,,product of diversity oriented synthesis
BRD-K55116708,,product of diversity oriented synthesis; inhibitor of leukemic stem cells
fluvastatin,HMGCR,inhibitor of HMG-CoA reductase
lovastatin,HMGCR,inhibitor of HMG-CoA reductase
simvastatin,HMGCR,inhibitor of HMG-CoA reductase
staurosporine,,inhibitor of multiple kinases
GSK-3 inhibitor IX,,inhibitor of JAK/STAT signaling
CHIR-99021,GSK3B,inhibitor of GSK3 beta
avicin D,,natural product
CIL56,,screening hit
erastin,SLC7A11;VDAC1;VDAC2,modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11
ML210,,selectively kills engineered cells expressing mutant HRAS
ML162,,selectively kills engineered cells expressing mutant HRAS
"1S,3R-RSL-3",GPX4,synthetic lethal with HRAS in engineered cells; inhibitor of GPX4
CIL41,,screening hit
CIL70,,screening hit
BRD-K01737880,,screening hit
VX-680,AURKA;AURKB;AURKC,inhibitor of aurora kinases
isoliquiritigenin,,natural product
tigecycline,,analog of tetracycline
COL-3,,analog of tetracycline
BRD-K71781559,,screening hit
MLN2480,ARAF;BRAF;RAF1,inhibitor of RAF kinases
GDC-0879,BRAF,inhibitor of BRAF
dabrafenib,BRAF,inhibitor of BRAF
PLX-4720,BRAF,inhibitor of BRAF
ML320,GSK3B,inhibitor of GSK3 beta
BRD-K29313308,HDAC3,inhibitor of HDAC3
BRD-K88742110,HDAC8,inhibitor of HDAC8
BRD-A02303741,DOT1L,inhibitor of histone methyltransferases
NSC 74859,STAT3,inhibitor of STAT3
AZD7545,PDK2,inhibitor of pyruvate dehydrogenase kinase 2
PLX-4032,BRAF,inhibitor of BRAF
compound 1B,,screening hit
BRD-K99006945,,screening hit
fulvestrant,ESR1;GPER1,antagonist of the estrogen receptor
SKI-II,SPHK1,inhibitor of sphingosine kinase 1
cimetidine,HRH2,inhibitor of histidine receptor H2
JW-480,NCEH1,inhibitor of serine hydrolase enzyme NCEH
itraconazole,,anti-fungal agent; inhibitor of hedgehog signaling pathway
pifithrin-mu,HSPA1A;HSPA1B;HSPA1L;TP53,inhibitor of p53 binding to mitochondria; inhibitor of HSP70
SB-525334,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor
phloretin,SLC5A1,natural product; inhibitor of glucose uptake
valdecoxib,PTGS2,inhibitor of cyclooxygenase-2 (COX2)
PF-750,FAAH,inhibitor of fatty acid amide hydrolase
ML239,,ML239; inhibitor of breast cancer stem cell proliferation
MST-312,TERT,inhibitor of telomerase reverse transcriptase
TW-37,BCL2;BCL2L1,inhibitor of BCL2 and BCL-xL
gossypol,BCL2;BCL2L1;LDHA;LDHB;LDHC,inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members
BRD1812,,screening hit
YM-155,BIRC5,inhibitor of survivin expression
BRD-K92856060,,screening hit
neopeltolide,,inhibitor of cellular respiration
KHS101,TACC3,"binder of TACC3, a component of the centrosome and mitotic spindle"
spautin-1,USP10;USP13,inhibitor of the deubiquitinase activity of USP13 and USP10
oligomycin A,ATP5L2,inhibitor of mitochondrial ATP synthase
BRD-K97651142,,aphrocallistin derivative
SR8278,NR1D1,antagonist of Rev-ErbAalpha
GSK-J4,KDM6A;KDM6B,inhibitor of lysine-specific demethylases
